UNITID,PREDDEG,CURROPER,TUITIONFEE_IN,EARN_2011,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,MD_INC_RPY_5YR_RT
115393,2,1,1340,24400,4500,0.62,0.697
115409,3,1,46509,68500,25696,0.62,0.697
115454,2,0,13620,24700,11250,0.651348651,0.646017699
115472,2,0,13620,20900,11250,0.651348651,0.646017699
115490,2,0,13620,29200,11250,0.651348651,0.646017699
115515,2,0,13620,26900,11250,0.651348651,0.646017699
115533,2,0,13620,27300,11250,0.651348651,0.646017699
115658,1,1,13932.234,20100,17105,0.62,0.697
115728,3,1,33020,35600,30750,0.62,0.697
115746,4,1,13932.234,26997,17105,0.62,0.697
115755,3,1,7144,24400,20250,0.62,0.849253731
115773,3,1,11277,25700,29168,0.62,0.663043478
115861,2,1,1326,17800,17105,0.62,0.697
115931,1,1,13932.234,25400,8023,0.47844523,0.554809843
116226,1,1,13932.234,34300,32000,0.62,0.697
116350,1,1,13932.234,26997,15135.5,0.62,0.697
116439,1,1,1453,24300,10000,0.62,0.697
116466,2,1,18048,30300,25833.5,0.561858455,0.540756526
116475,2,1,18048,30300,25833.5,0.561858455,0.540756526
116484,2,1,18048,30300,25833.5,0.561858455,0.540756526
116563,1,1,13932.234,16900,10556,0.530612245,0.697
116712,3,1,13932.234,47000,25000,0.62,0.697
116846,3,1,27900,26997,23250,0.62,0.697
117052,2,1,1142,19000,4096,0.62,0.697
117104,3,1,12500,23100,20600,0.62,0.697
117113,3,1,18748,33800,14323,0.739811912,0.736035049
117140,3,1,35000,38700,25000,0.62,0.818918919
117168,3,1,26500,23500,29500,0.62,0.697
117195,2,1,1221,17200,17105,0.62,0.697
117238,1,1,13932.234,13300,6970,0.475728155,0.697
117247,2,1,1144,19200,17105,0.62,0.697
117274,2,1,1127,23000,17105,0.62,0.697
117520,4,1,13932.234,26997,17105,0.62,0.697
117557,2,1,10105,26997,17105,0.62,0.697
117575,3,1,13692,26997,17105,0.62,0.697
117627,3,1,29103,32600,27000,0.62,0.880184332
117636,3,1,13932.234,68900,21875,0.62,0.697
117645,1,1,1182,20500,9250,0.62,0.544642857
117672,4,1,13932.234,26997,17105,0.62,0.697
117690,2,1,1221,24600,5542,0.62,0.697
117706,2,1,1221,23600,11664,0.62,0.697
117715,2,1,1221,19400,4875,0.62,0.697
117724,1,1,1221,21800,4500,0.62,0.697
117733,1,1,1221,21900,10500,0.62,0.697
117751,3,1,28800,29800,20500,0.961685824,0.697
117788,2,1,1221,18700,8000,0.62,0.697
117803,2,1,13932.234,78700,14330,0.62,0.697
117867,2,1,1221,23700,9849,0.62,0.697
117894,2,1,1298,24200,17105,0.62,0.697
117928,3,1,18748,33800,14323,0.739811912,0.736035049
117946,3,1,40265,41300,22299.5,0.944727891,0.918976546
117955,1,1,13932.234,26997,8418.5,0.62,0.697
118116,1,0,13932.234,12900,17105,0.62,0.697
118125,1,0,13932.234,26997,17105,0.62,0.697
118143,1,1,13932.234,13300,6333,0.62,0.697
118161,1,1,13932.234,21300,7652,0.62,0.697
118189,1,1,13932.234,18600,9500,0.466292135,0.697
118198,1,1,13932.234,28700,10247.5,0.695970696,0.659003831
118259,1,1,13932.234,18600,9495,0.62,0.442508711
118277,1,1,13932.234,31800,9500,0.661177961,0.7039801
118286,1,1,13932.234,23200,9500,0.542635659,0.611005693
118347,2,1,1420,25100,10875,0.62,0.549019608
118356,1,1,13932.234,14900,10555,0.437155963,0.5950783
118541,2,1,30579,27000,16000,0.62,0.739130435
118684,2,1,1423,20300,15381.5,0.62,0.697
118693,3,1,37100,35000,23250,0.62,0.697
118718,2,1,1138,18400,17105,0.62,0.697
118772,2,1,1144,24800,17105,0.62,0.697
118888,3,1,41494,31400,24500,0.62,0.697
118912,1,1,1148,23100,4500,0.62,0.697
118921,1,1,13932.234,18900,10221.5,0.47080292,0.697
118930,2,1,1174,25200,7500,0.62,0.697
118958,1,1,13932.234,16000,17105,0.62,0.697
118967,1,1,13932.234,31400,9500,0.53875969,0.618604651
118976,2,1,1150,20500,17105,0.62,0.697
118994,1,1,13932.234,26997,9500,0.62,0.697
119058,3,1,13932.234,44600,19500,0.62,0.697
119067,2,1,1170,24600,15200,0.62,0.697
119137,2,1,1388,25300,13000,0.62,0.697
119164,2,1,1346,23700,6000,0.62,0.697
119173,3,1,33852,48400,25000,0.908496732,0.843657817
119216,2,1,1386,21700,17105,0.62,0.603174603
119234,1,1,19152,20600,11780,0.62,0.697
119270,1,1,23985,20200,17105,0.62,0.681632653
119331,2,1,1142,28800,9500,0.62,0.697
119340,1,0,13932.234,18700,9500,0.316369161,0.697
119359,1,0,14365,24100,9500,0.398661568,0.503030303
119368,1,0,11424,20200,9500,0.300724638,0.697
119438,1,0,13932.234,26500,9500,0.477806789,0.454545455
119456,1,0,13932.234,19200,9500,0.324969148,0.697
119465,1,0,13932.234,21200,9500,0.466013472,0.453874539
119508,1,0,13572,17800,9500,0.313360324,0.361445783
119544,3,0,8196,28100,16950,0.62,0.697
119553,1,1,13932.234,21700,9500,0.754057428,0.744292237
119605,3,1,12096,48000,28410.5,0.835748792,0.796423659
119775,3,1,24536,31500,43417,0.62,0.697
119845,1,1,13932.234,19400,5042,0.845588235,0.697
119951,1,1,13932.234,13300,10836,0.547169811,0.697
120069,1,1,13932.234,25700,8023.5,0.62,0.697
120078,1,1,13932.234,22600,7818,0.703656999,0.697
120087,1,1,13932.234,23300,7805,0.703947368,0.697
120184,3,1,31126,41500,27000,0.62,0.773584906
120254,3,1,46652,33300,21500,0.62,0.916666667
120272,1,1,13932.234,26997,7622,0.62,0.697
120290,2,1,1162,29000,17105,0.62,0.697
120342,2,1,1184,23900,5400,0.62,0.696296296
120403,3,1,39430,32400,27000,0.62,0.697
120421,2,1,1388,23100,17105,0.62,0.697
120537,3,1,26050,30100,25949.5,0.62,0.775362319
120661,1,1,13932.234,22400,9500,0.500488759,0.577981651
120698,3,1,13932.234,26997,17105,0.62,0.697
120740,4,0,13932.234,26997,17105,0.62,0.697
